truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation
T11,,N8,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 03:54:35,45.351688,25.662134,8.9,2.01,3.7,433.22,2.69,1,0.6587,0.6578,10.0,454.81,0.4639,5.8,10000.0,-10.0,1,2.32,1.47,0.7423,0.34,0.4341,0.2508,Low Risk,-0.26
T12,,N14,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 04:26:13,45.84925,17.968085,6.59,3.0,4.76,425.02,2.71,1,0.4126,0.9454,3.5,159.54,0.4841,11.44,10000.0,-10.0,1,4.46,2.31,0.9818,0.2056,0.6856,0.7008,Moderate Risk,8.72
T13,,N14,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 04:27:27,45.84925,17.968085,8.24,1.19,3.89,421.96,3.06,1,0.7251,0.6034,3.41,838.34,0.6498,6.8,3326.23,-10.0,1,5.78,1.89,0.4045,0.1022,0.4544,0.3838,Moderate Risk,0.01
T14,,N7,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 04:39:06,54.999728,22.579795,10.15,-1.35,1.23,485.67,2.04,1,0.8403,0.0,2.78,107.5,1.0,5.07,4669.87,-10.0,1,1.6,0.5,0.2365,0.4024,0.0348,0.2475,Low Risk,1.4
T15,,N1,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 04:44:31,50.450706,19.336495,11.22,1.32,2.03,460.64,2.4,0,0.7876,0.7318,8.37,208.73,0.5961,5.75,4558.07,-8.55,1,4.06,1.31,0.3013,0.3707,0.5754,0.4631,Moderate Risk,3.46
T5,,N9,NodeType.INSPECTION,ARRIVAL_NODE,IDLE,2024-01-01 04:46:10,50.819308,17.39013,13.01,2.26,4.34,248.08,2.44,1,0.566,0.4143,1.95,1300.0,0.0409,7.91,9272.42,-10.0,1,6.92,5.0,0.6493,0.3476,0.4727,0.5263,Moderate Risk,3.03
T16,ORD35,N14,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 04:46:10,45.84925,17.968085,14.81,3.05,2.84,297.75,3.06,1,0.5138,1.0,3.86,629.36,0.0,11.04,2415.1,-10.0,1,6.15,1.15,0.4816,0.2528,0.7762,0.7074,Moderate Risk,8.28
T3,,N11,NodeType.HUB,ARRIVAL_NODE,IDLE,2024-01-01 05:25:17,47.588496,22.556025,12.9,1.37,1.37,362.87,2.7,1,0.7292,0.7808,2.51,760.76,0.5709,9.3,6449.19,-10.0,0,7.13,4.03,0.7771,0.5847,0.6655,0.5241,Moderate Risk,3.86
T17,,N7,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 06:06:32,54.999728,22.579795,14.08,0.99,3.96,271.61,2.59,0,0.8609,0.3017,1.97,988.67,0.4287,4.66,8288.11,-10.0,1,4.37,1.33,0.0,0.4697,0.4116,0.2987,Low Risk,2.39
T18,,N7,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 06:29:28,54.999728,22.579795,11.42,2.68,3.62,533.16,3.63,1,0.4971,1.0,3.3,233.48,0.8334,7.72,4464.25,1.62,1,6.58,0.85,1.0,0.4323,0.5969,0.513,Moderate Risk,5.74
T19,,N7,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 06:50:30,54.999728,22.579795,6.01,0.87,4.05,314.36,2.09,1,0.8483,0.406,1.74,740.68,1.0,6.2,6732.14,-10.0,1,4.15,1.29,0.8058,0.5343,0.3513,0.3058,Low Risk,2.01
T9,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 07:26:27,49.232675,20.570204,7.5,1.77,10.0,296.33,3.14,1,0.4809,0.272,8.29,339.31,0.6723,12.44,1928.87,-8.11,1,6.98,4.35,0.8592,0.6047,0.5724,0.7452,Moderate Risk,6.76
T3,,N11,NodeType.HUB,END_SERVICE,IDLE,2024-01-01 07:26:31,47.588496,22.556025,7.34,1.76,9.36,257.73,4.7,1,0.5946,0.1955,2.67,819.62,0.5259,7.36,9059.98,-10.0,1,2.67,1.01,0.0693,0.4748,0.2999,0.3747,Low Risk,2.25
T3,,N11,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 07:26:31,47.588496,22.556025,15.36,2.7,10.0,441.36,3.11,0,0.6946,0.465,3.03,291.71,0.0,7.65,3585.46,-10.0,1,5.03,1.38,0.1767,0.6458,0.2973,0.4393,Moderate Risk,1.88
T5,,N9,NodeType.INSPECTION,END_SERVICE,IDLE,2024-01-01 07:27:56,50.819308,17.39013,13.77,3.98,10.0,513.19,4.92,1,0.6565,0.4344,1.79,554.34,0.4815,5.98,7609.78,-10.0,1,4.91,1.46,0.268,0.8188,0.5158,0.4516,Moderate Risk,4.2
T5,,N9,NodeType.INSPECTION,DEPART_NODE,IDLE,2024-01-01 07:27:56,50.819308,17.39013,8.83,2.54,9.87,358.44,3.16,0,0.6315,0.5318,4.25,144.49,0.4485,10.84,4909.8,2.14,1,6.18,1.87,1.0,0.5378,0.5395,0.6492,Moderate Risk,6.26
T20,,N1,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 07:29:07,50.450706,19.336495,10.01,3.22,8.89,580.38,3.03,1,0.6094,0.6093,8.45,976.43,0.0,7.78,10000.0,-10.0,1,4.83,0.92,0.221,0.6376,0.4448,0.4558,Moderate Risk,4.72
T10,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 07:54:27,49.232675,20.570204,17.51,3.5,9.95,423.74,2.94,0,0.526,0.7737,9.39,1253.4,0.4965,9.52,10000.0,-10.0,0,8.21,3.84,0.5102,0.4051,0.7493,0.7969,High Risk,8.4
T1,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 08:23:29,49.232675,20.570204,14.31,4.8,10.0,576.87,3.75,0,0.3656,0.8324,8.32,715.81,0.6216,15.0,6992.34,-10.0,0,9.07,4.83,0.1012,0.7906,0.749,0.9771,High Risk,12.07
T3,,N11,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 08:26:31,47.588496,22.556025,7.32,2.59,9.27,412.43,2.58,1,0.5448,0.3747,5.3,542.6,1.0,9.26,10000.0,-10.0,1,4.08,0.97,0.2994,0.715,0.3431,0.52,Moderate Risk,4.69
T5,,N9,NodeType.INSPECTION,DEPART_NODE,IDLE,2024-01-01 08:27:56,50.819308,17.39013,11.53,4.12,10.0,449.8,2.4,1,0.5162,0.8017,3.31,265.46,0.9906,11.63,6833.76,-10.0,1,6.44,1.42,0.0,0.6062,0.7935,0.7799,High Risk,6.41
T9,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 08:39:48,49.232675,20.570204,15.16,3.29,10.0,514.55,3.85,1,0.7133,0.4837,8.63,410.88,0.3772,8.47,10000.0,-10.0,1,4.48,1.61,0.0,0.728,0.4829,0.5602,Moderate Risk,6.57
T9,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 08:39:48,49.232675,20.570204,11.85,3.66,10.0,386.72,3.46,0,0.4388,0.5118,9.62,505.43,0.2445,6.83,6474.8,-10.0,1,4.83,1.67,0.0445,0.5182,0.5967,0.4926,Moderate Risk,4.61
T10,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 09:01:40,49.232675,20.570204,12.0,3.98,10.0,398.96,4.89,0,0.7475,0.6951,9.64,727.95,0.8325,9.93,4194.56,-10.0,1,5.59,0.88,0.2536,0.6504,0.5696,0.5996,Moderate Risk,3.99
T10,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 09:01:40,49.232675,20.570204,8.13,1.39,8.22,583.52,3.43,1,0.9165,0.2127,10.0,1075.0,0.2168,5.04,3220.7,-3.36,1,3.37,1.62,0.6233,0.6778,0.415,0.3617,Low Risk,3.16
T9,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 09:39:48,49.232675,20.570204,19.28,2.33,10.0,316.86,2.65,1,0.9441,0.2051,10.0,658.12,0.7236,8.45,9362.38,-10.0,1,2.04,1.1,0.6644,0.9518,0.1683,0.4067,Low Risk,2.0
T15,,N10,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 10:00:15,51.520734,16.653039,9.23,1.83,3.03,291.56,2.34,1,0.4502,1.0,3.13,466.06,0.1765,13.65,6196.58,6.39,0,7.33,3.33,0.3542,0.9821,1.0,0.9463,High Risk,12.14
T10,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 10:01:40,49.232675,20.570204,16.96,1.55,3.16,246.11,3.8,0,0.7668,0.4865,10.0,742.65,1.0,8.04,100.02,-10.0,1,3.26,1.47,0.0,0.7644,0.3207,0.3392,Low Risk,2.28
T8,ORD17,N2,NodeType.PORT,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 10:02:21,49.232675,20.570204,9.74,1.07,2.14,451.88,3.6,0,0.4464,0.6849,10.0,852.3,0.7115,8.12,8052.07,-10.0,1,6.17,3.89,0.4735,0.8705,0.5952,0.6607,Moderate Risk,5.92
T2,,N6,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 11:10:27,50.616164,25.571274,5.94,-2.0,3.77,354.46,2.93,1,0.6097,0.0905,3.1,130.0,0.3954,8.9,2840.69,-10.0,1,5.2,3.08,0.281,1.0,0.5298,0.4806,Moderate Risk,2.68
T1,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 11:10:53,49.232675,20.570204,9.4,1.22,2.69,418.83,4.51,0,0.9494,0.4997,9.58,446.77,1.0,4.82,6247.49,-10.0,1,1.84,1.01,0.2582,0.993,0.2523,0.3413,Low Risk,1.52
T1,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 11:10:53,49.232675,20.570204,16.19,1.8,3.74,347.93,3.71,1,0.7916,0.4074,8.03,107.5,0.9101,7.86,8328.62,-7.77,1,5.44,0.97,1.0,1.0,0.3828,0.3402,Moderate Risk,1.84
T12,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 11:44:14,49.232675,20.570204,10.51,0.56,2.65,408.72,3.19,1,0.594,0.2643,10.0,723.31,0.5911,7.68,7529.32,-10.0,1,5.98,4.21,0.0076,1.0,0.4344,0.438,Moderate Risk,5.25
T8,ORD17,N2,NodeType.PORT,END_SERVICE,EN_ROUTE_TO_PICKUP,2024-01-01 12:09:26,49.232675,20.570204,10.93,1.43,4.45,380.45,4.35,0,0.7217,0.4914,9.12,769.93,0.4502,4.41,10000.0,-10.0,1,2.35,0.76,0.6901,1.0,0.2209,0.2679,Low Risk,-0.38
T8,ORD17,N2,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 12:09:26,49.232675,20.570204,5.64,2.1,2.54,303.36,2.18,1,0.603,0.9073,7.57,282.68,0.9209,7.49,2418.49,-10.0,1,5.54,1.17,0.7292,0.8405,0.8417,0.6162,Moderate Risk,5.16
T1,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 12:10:53,49.232675,20.570204,10.11,0.7,3.43,445.56,3.39,1,0.7753,0.5545,9.19,252.99,0.7591,5.37,10000.0,-10.0,0,2.56,1.54,0.581,1.0,0.3354,0.2942,Low Risk,1.22
T14,,N4,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 12:44:29,51.931535,25.398253,23.61,0.92,3.61,329.51,3.28,1,0.4499,0.3565,4.13,1022.03,0.5557,8.56,6173.41,-10.0,1,5.81,4.11,0.6657,1.0,0.5935,0.5634,Moderate Risk,7.51
T2,,N6,NodeType.CUSTOMER,END_SERVICE,IDLE,2024-01-01 12:54:34,50.616164,25.571274,16.76,-0.83,4.93,409.59,4.12,0,0.7237,0.049,4.03,725.55,0.3006,2.17,8620.74,-10.0,1,2.47,1.81,0.8411,0.9817,0.1211,0.0651,Low Risk,-0.46
T2,,N6,NodeType.CUSTOMER,DEPART_NODE,IDLE,2024-01-01 12:54:34,50.616164,25.571274,6.08,3.44,4.33,492.08,2.95,1,0.5726,1.0,4.09,107.5,0.0,9.49,10000.0,-10.0,0,5.64,1.72,0.0399,0.9064,0.6843,0.4929,Moderate Risk,4.35
T12,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 12:58:41,49.232675,20.570204,6.38,-0.74,2.85,449.13,5.0,0,0.7448,0.4239,9.12,457.71,0.7333,4.17,6343.21,-10.0,1,2.63,1.31,0.3942,0.9039,0.4774,0.3033,Low Risk,2.89
T12,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 12:58:41,49.232675,20.570204,5.67,1.83,2.55,555.33,2.64,1,0.7899,0.6423,8.76,224.85,0.0,6.37,221.86,-10.0,1,3.3,1.72,1.0,0.9131,0.3379,0.3524,Low Risk,1.84
T8,ORD17,N2,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 13:09:26,49.232675,20.570204,5.86,-0.72,3.45,376.37,2.81,1,0.8337,0.0668,9.96,599.38,0.0,5.26,887.11,-10.0,1,1.39,2.31,0.0,1.0,0.2634,0.4002,Low Risk,1.69
T13,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 13:12:56,49.232675,20.570204,12.43,0.91,2.88,414.61,2.88,1,0.5206,0.5732,10.0,787.56,0.7477,9.63,10000.0,-7.84,0,7.39,3.99,1.0,1.0,0.6589,0.7499,High Risk,6.84
T19,,N15,NodeType.INSPECTION,ARRIVAL_NODE,IDLE,2024-01-01 13:41:43,53.208291,23.843122,11.74,1.22,2.02,327.37,2.19,1,0.4402,0.6838,4.32,933.59,0.7491,10.61,6950.95,-7.94,0,7.23,4.41,0.5543,1.0,0.6501,0.788,High Risk,6.74
T14,,N4,NodeType.CUSTOMER,END_SERVICE,IDLE,2024-01-01 13:44:29,51.931535,25.398253,5.84,-0.06,3.35,397.91,4.84,1,0.7431,0.3215,4.38,760.56,0.4946,6.43,10000.0,-10.0,1,3.67,1.7,0.0,1.0,0.2177,0.2584,Low Risk,-0.55
T14,,N4,NodeType.CUSTOMER,DEPART_NODE,IDLE,2024-01-01 13:44:29,51.931535,25.398253,7.38,1.2,3.88,310.87,3.46,1,0.6013,0.6485,1.95,496.43,0.8321,11.81,10000.0,-10.0,1,4.22,1.15,0.5852,1.0,0.4987,0.5692,Moderate Risk,5.09
T2,,N6,NodeType.CUSTOMER,DEPART_NODE,IDLE,2024-01-01 13:54:34,50.616164,25.571274,7.29,2.6,4.98,451.07,2.4,1,0.585,1.0,4.42,308.34,0.7542,10.37,5112.99,-9.36,1,6.92,1.38,0.2015,1.0,0.5874,0.5466,Moderate Risk,3.21
T12,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 13:58:41,49.232675,20.570204,5.92,2.57,3.7,321.81,3.05,0,0.604,1.0,9.5,677.12,0.4749,7.94,8347.95,-10.0,1,5.63,1.45,0.7515,0.9418,0.7768,0.4884,Moderate Risk,4.65
T3,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 14:34:31,49.232675,20.570204,14.17,-0.25,2.41,340.88,2.49,1,0.571,0.4139,7.1,1244.96,1.0,7.68,8088.94,-10.0,1,6.27,3.65,0.788,1.0,0.5291,0.5475,Moderate Risk,5.25
T14,,N4,NodeType.CUSTOMER,DEPART_NODE,IDLE,2024-01-01 14:44:29,51.931535,25.398253,7.41,1.81,1.36,339.77,2.79,0,0.6952,1.0,4.44,428.73,0.6681,9.61,100.02,-10.0,1,4.91,1.45,0.8664,0.835,0.5662,0.5008,Moderate Risk,1.98
T15,,N10,NodeType.CUSTOMER,END_SERVICE,IDLE,2024-01-01 14:45:16,51.520734,16.653039,5.65,0.5,2.61,386.26,4.76,1,0.6145,0.6428,3.4,107.5,0.865,6.34,10000.0,-3.09,1,5.37,1.36,1.0,0.8764,0.5785,0.4972,Moderate Risk,2.88
T15,,N10,NodeType.CUSTOMER,DEPART_NODE,IDLE,2024-01-01 14:45:16,51.520734,16.653039,5.58,-0.63,2.33,319.23,2.72,1,0.8773,0.1727,2.09,852.84,0.4724,1.0,10000.0,-5.76,1,4.21,1.45,0.9502,1.0,0.2382,0.0233,Low Risk,-1.96
T4,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 14:56:10,49.232675,20.570204,14.87,2.25,3.89,312.75,2.77,1,0.7167,0.3852,7.76,130.0,0.5871,8.61,3273.32,-10.0,1,5.54,3.38,1.0,1.0,0.5388,0.563,Moderate Risk,5.23
T13,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 15:21:28,49.232675,20.570204,6.08,2.78,4.34,544.84,4.83,0,0.7017,0.6118,9.32,107.5,0.2923,11.29,6767.22,-10.0,1,2.59,1.42,0.3692,1.0,0.4047,0.5998,Moderate Risk,5.25
T13,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 15:21:28,49.232675,20.570204,10.47,1.33,2.05,561.94,2.85,1,0.8622,0.7295,8.64,653.47,0.4156,5.16,4500.36,-10.0,1,4.8,0.5,0.9055,1.0,0.3978,0.4359,Moderate Risk,3.47
T5,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 15:34:37,49.232675,20.570204,8.75,-0.44,2.14,420.79,2.57,1,0.6953,0.0616,8.96,1269.7,0.5702,6.12,1369.15,-10.0,1,5.95,4.59,0.0711,1.0,0.3292,0.4319,Moderate Risk,2.65
T18,,N6,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 15:49:37,50.616164,25.571274,14.5,0.27,3.35,424.27,3.45,1,0.6037,0.3459,3.57,715.7,0.7616,5.98,8110.57,-10.0,1,6.58,3.64,0.7828,1.0,0.4831,0.4409,Moderate Risk,2.31
T19,,N15,NodeType.INSPECTION,END_SERVICE,IDLE,2024-01-01 16:12:44,53.208291,23.843122,8.12,-0.19,3.13,409.91,5.0,1,0.8343,0.4825,2.43,537.21,0.7811,3.17,10000.0,-10.0,1,3.53,1.77,0.432,0.9698,0.4694,0.257,Low Risk,1.12
T19,,N15,NodeType.INSPECTION,DEPART_NODE,IDLE,2024-01-01 16:12:44,53.208291,23.843122,6.7,0.07,2.1,335.81,3.03,1,0.8307,0.2383,2.12,455.99,0.5619,2.83,100.02,-10.0,1,3.87,1.96,0.6563,1.0,0.4619,0.1866,Low Risk,-1.72
T4,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 16:21:28,49.232675,20.570204,5.72,2.35,2.9,497.76,5.0,1,0.6024,0.8156,8.21,996.7,0.7113,10.84,10000.0,-4.8,1,5.76,1.71,1.0,1.0,0.5916,0.5891,Moderate Risk,3.24
T4,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 16:21:28,49.232675,20.570204,8.57,-1.52,3.03,303.88,2.54,0,0.922,0.0,8.25,1075.0,1.0,2.15,6362.79,-10.0,0,0.76,1.6,0.7911,0.8954,0.0532,0.0983,Low Risk,-0.92
T13,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 16:21:28,49.232675,20.570204,11.72,0.61,1.05,516.53,2.95,1,0.8549,0.6894,8.98,562.32,0.258,8.08,5036.7,-10.0,1,4.08,1.62,1.0,1.0,0.5873,0.4799,Moderate Risk,3.93
T15,,N9,NodeType.INSPECTION,ARRIVAL_NODE,IDLE,2024-01-01 16:32:42,50.819308,17.39013,6.26,1.76,3.44,311.29,2.5,1,0.615,0.4889,2.72,826.28,0.6649,10.83,6368.18,-10.0,0,8.31,3.89,0.7669,0.9683,0.6097,0.6422,Moderate Risk,5.04
T19,,N15,NodeType.INSPECTION,DEPART_NODE,IDLE,2024-01-01 17:12:44,53.208291,23.843122,9.66,2.53,10.0,445.21,2.5,1,0.5787,0.6458,2.48,477.07,0.6313,9.61,6790.69,-2.31,1,3.48,0.99,0.5714,1.0,0.4611,0.4809,Moderate Risk,2.8
T6,ORD39,N6,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 17:16:25,50.616164,25.571274,21.79,3.62,7.68,292.08,2.99,0,0.4106,0.7998,2.82,796.36,0.0,15.0,3319.34,-5.85,0,9.87,4.27,0.9296,0.8276,1.0,1.0,High Risk,9.87
T4,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 17:21:28,49.232675,20.570204,19.51,4.45,10.0,428.79,3.58,1,0.5779,0.8511,8.49,472.97,0.6424,9.64,8565.73,-10.0,0,7.52,0.97,0.0,0.8864,0.5503,0.627,Moderate Risk,5.66
T14,,N6,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 17:21:33,50.616164,25.571274,12.28,2.3,10.0,556.13,2.09,1,0.5789,0.0085,4.62,309.19,0.3284,11.43,539.38,-3.21,1,5.66,4.24,0.3048,0.9068,0.2728,0.644,Moderate Risk,4.91
T7,,N2,NodeType.PORT,ARRIVAL_NODE,IDLE,2024-01-01 17:40:54,49.232675,20.570204,12.77,1.41,10.0,340.46,2.9,1,0.4206,0.3069,10.0,804.6,0.7205,9.24,8728.42,-10.0,0,7.73,4.35,1.0,1.0,0.555,0.599,Moderate Risk,6.92
T3,,N2,NodeType.PORT,END_SERVICE,IDLE,2024-01-01 17:53:41,49.232675,20.570204,7.35,2.86,9.39,406.45,4.77,1,0.7884,0.419,8.87,912.5,0.6601,6.59,9864.79,-10.0,1,5.36,1.37,1.0,1.0,0.5053,0.4903,Moderate Risk,4.1
T3,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 17:53:41,49.232675,20.570204,7.5,1.86,10.0,434.08,3.53,1,0.5773,0.1542,8.94,1075.0,0.4592,7.49,10000.0,-7.09,1,3.9,0.82,0.5978,1.0,0.3511,0.4757,Moderate Risk,2.29
T16,ORD35,N2,NodeType.PORT,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 17:57:34,49.232675,20.570204,8.94,3.21,10.0,390.35,2.5,0,0.4618,0.8315,10.0,130.0,0.7136,12.25,2318.2,-10.0,0,8.54,4.8,1.0,1.0,0.9108,0.8303,High Risk,12.06
T2,,N5,NodeType.CUSTOMER,ARRIVAL_NODE,IDLE,2024-01-01 18:31:11,50.449855,28.027718,16.09,1.02,10.0,338.77,3.03,1,0.5124,0.0344,2.08,660.53,0.148,7.94,403.55,-10.0,1,5.81,4.4,0.8064,0.9554,0.5137,0.5491,Moderate Risk,5.93
T10,,N9,NodeType.INSPECTION,ARRIVAL_NODE,IDLE,2024-01-01 18:51:45,50.819308,17.39013,7.83,4.1,10.0,398.13,2.54,0,0.5365,0.462,3.26,935.07,0.9313,8.04,9028.48,-10.0,0,9.16,4.76,0.8112,0.8463,0.7012,0.6524,High Risk,4.57
T3,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 18:53:41,49.232675,20.570204,7.2,2.96,8.8,493.39,3.11,1,0.8864,0.6953,9.08,271.95,0.1269,6.89,5139.13,-4.35,1,5.46,1.97,0.5095,1.0,0.7742,0.4892,Moderate Risk,3.89
T15,,N9,NodeType.INSPECTION,END_SERVICE,IDLE,2024-01-01 18:53:53,50.819308,17.39013,7.5,3.39,10.0,372.76,5.0,0,0.664,0.4692,3.61,107.5,0.8854,7.04,9652.5,-10.0,1,6.51,1.1,0.2846,0.9896,0.5604,0.4881,Moderate Risk,2.49
T15,,N9,NodeType.INSPECTION,DEPART_NODE,IDLE,2024-01-01 18:53:53,50.819308,17.39013,24.89,3.57,10.0,464.46,2.66,1,0.5461,0.4491,1.62,629.38,0.1894,7.28,1067.54,-4.95,0,6.34,2.18,0.3405,0.9704,0.5611,0.4852,Moderate Risk,3.89
